query_id,query_style,gold_episode_id,condition,rank,hit_at_10
Q0001_shorttext,shorttext,A16036_E016,core_text,1,1
Q0001_comparison,comparison,A16036_E016,core_text,6,1
Q0001_distance_effort,distance_effort,A16036_E016,core_text,13,0
Q0001_behavior,behavior,A16036_E016,core_text,5,1
Q0002_shorttext,shorttext,A17709_E007,core_text,1,1
Q0002_comparison,comparison,A17709_E007,core_text,6,1
Q0002_distance_effort,distance_effort,A17709_E007,core_text,6,1
Q0002_behavior,behavior,A17709_E007,core_text,5,1
Q0003_shorttext,shorttext,A18219_E003,core_text,1,1
Q0003_comparison,comparison,A18219_E003,core_text,105,0
Q0003_distance_effort,distance_effort,A18219_E003,core_text,92,0
Q0003_behavior,behavior,A18219_E003,core_text,97,0
Q0004_shorttext,shorttext,A16700_E030,core_text,1,1
Q0004_comparison,comparison,A16700_E030,core_text,6,1
Q0004_distance_effort,distance_effort,A16700_E030,core_text,24,0
Q0004_behavior,behavior,A16700_E030,core_text,6,1
Q0005_shorttext,shorttext,A19659_E004,core_text,1,1
Q0005_comparison,comparison,A19659_E004,core_text,5,1
Q0005_distance_effort,distance_effort,A19659_E004,core_text,4,1
Q0005_behavior,behavior,A19659_E004,core_text,4,1
Q0006_shorttext,shorttext,A19964_E010,core_text,1,1
Q0006_comparison,comparison,A19964_E010,core_text,7,1
Q0006_distance_effort,distance_effort,A19964_E010,core_text,21,0
Q0006_behavior,behavior,A19964_E010,core_text,12,0
Q0007_shorttext,shorttext,A16030_E010,core_text,1,1
Q0007_comparison,comparison,A16030_E010,core_text,1,1
Q0007_distance_effort,distance_effort,A16030_E010,core_text,8,1
Q0007_behavior,behavior,A16030_E010,core_text,1,1
Q0008_shorttext,shorttext,A16840_E034,core_text,1,1
Q0008_comparison,comparison,A16840_E034,core_text,15,0
Q0008_distance_effort,distance_effort,A16840_E034,core_text,16,0
Q0008_behavior,behavior,A16840_E034,core_text,14,0
Q0009_shorttext,shorttext,A19964_E015,core_text,1,1
Q0009_comparison,comparison,A19964_E015,core_text,3,1
Q0009_distance_effort,distance_effort,A19964_E015,core_text,2,1
Q0009_behavior,behavior,A19964_E015,core_text,2,1
Q0010_shorttext,shorttext,A18132_E003,core_text,1,1
Q0010_comparison,comparison,A18132_E003,core_text,3,1
Q0010_distance_effort,distance_effort,A18132_E003,core_text,6,1
Q0010_behavior,behavior,A18132_E003,core_text,2,1
Q0011_shorttext,shorttext,A16925_E002,core_text,1,1
Q0011_comparison,comparison,A16925_E002,core_text,7,1
Q0011_distance_effort,distance_effort,A16925_E002,core_text,6,1
