episode_id,id,date,source_text,jealousy_direction,analysis_target,target_of_jealousy,jealousy_vocabulary,jealousy_structure_category,context_tag,comparison_pair,analysis_axis_distance,analysis_axis_effort_intervention,hierarchy_source,behavior_pattern,primary_emotion_vector,consciousness_state_tag,embodied_cognition_text,entry_id,column_id,paragraph_span,short_text,long_text,narrative_role,span_highlight,source_url,core_text
A16030_E004,1,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→同業者,主体嫉妬（自分）,承認・評価、愛情,「いいね」,承認競争型,"social_media, romantic_relationship, creative_activity",self_vs_other,中（知り合い・同業者）,可能（努力で変えられる）,関係的嫉妬,内省・葛藤型,"{""envy"": 0.8, ""inferiority"": 0.7, ""frustration"": 0.8, ""jealousy"": 0.8}",state:unconscious_reaction（無意識的反応）,ございます」のコメントが寄せられているのを見た瞬間、胃のあたりからグワっとどす黒い何かが込み,COL_001_EPI_002,COL_001,3110,それに比べて私は、本をまだ1冊しか出せていないし、彼女よりフォロワーも人気も少ない。なんだか「いいね...,"や「おめでとう
ございます」のコメントが寄せられているのを見た瞬間、胃のあたりからグワっとどす黒い何かが込み
上げてきて頭がカッと熱くなった。
……羨ましい。すごいね。どんどん有名になっていくじゃん。それに比べて私は、本をまだ1冊しか出せていないし、彼女よりフォロワーも人気も少ない。なんだか「いいね」を寄せた人たちが全員、私のことを彼女より劣っていると言っているような気までする。「いいね」を寄せた人たちが全員、私のことを彼女より劣っていると言っているような気までする。

こんなに嫉妬深い人間が他にいるだろうか
ああ、悔しい、ああ、妬ましい！",一人称の直接体験,それに比べて私は、本をまだ1冊しか出せていないし、彼女よりフォロワーも人気も少ない。なんだか「いいね」を寄せた人たちが全員、私のことを彼女より劣っていると言っているような気までする。,https://fujinkoron.jp/articles/-/16030,"承認競争型 | social_media, romantic_relationship, creative_activity | self_vs_other | 中（知り合い・同業者） | 可能（努力で変えられる） | 関係的嫉妬 | 内省・葛藤型 | 「いいね」 | それに比べて私は、本をまだ1冊しか出せていないし、彼女よりフォロワーも人気も少ない。なんだか「いいね..."
A16030_E005,2,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→他者,自分の嫉妬深さについての考察,承認・評価、愛情,「こんなに嫉妬深い人間が他にいるだろうか」,ゼロサムゲーム型、承認競争型,"social_media, romantic_relationship, creative_activity",self_vs_other,遠（有名人・概念）,可能（努力で変えられる）,関係的嫉妬,内省・葛藤型,"{""envy"": 0.8, ""desire_for_recognition"": 0.9, ""inferiority"": 0.7, ""frustration"": 0.8, ""jealousy"": 0.8, ""competitiveness"": 0.8}",state:explicit_awareness（明確に自覚）,上げてきて頭がカッと熱くなった,COL_001_EPI_003,COL_001,3113,こんなに嫉妬深い人間が他にいるだろうか,"ていくじゃん。
それに比べて私は、本をまだ1冊しか出せていないし、彼女よりフォロワーも人気も少ない。なんだか
「いいね」を寄せた人たちが全員、私のことを彼女より劣っていると言っているような気までする。こんなに嫉妬深い人間が他にいるだろうかああ、悔しい、ああ、妬ましい！

私ももっと認められたい。注目されたい。彼女に負けたくない。

込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。",メタ認知的自己問答,こんなに嫉妬深い人間が他にいるだろうか,https://fujinkoron.jp/articles/-/16030,"ゼロサムゲーム型、承認競争型 | social_media, romantic_relationship, creative_activity | self_vs_other | 遠（有名人・概念） | 可能（努力で変えられる） | 関係的嫉妬 | 内省・葛藤型 | 「こんなに嫉妬深い人間が他にいるだろうか」 | こんなに嫉妬深い人間が他にいるだろうか"
A16030_E006,3,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→他者,主体嫉妬（自分）,承認・評価、愛情,「ああ、悔しい、ああ、妬ましい！　私ももっと認められたい。...」,ゼロサムゲーム型、承認競争型,"social_media, romantic_relationship, creative_activity",self_vs_other,遠（有名人・概念）,可能（努力で変えられる）,関係的嫉妬,感情表出型,"{""envy"": 0.8, ""desire_for_recognition"": 0.9, ""inferiority"": 0.7, ""frustration"": 0.8, ""jealousy"": 0.8, ""competitiveness"": 0.8}",state:explicit_awareness（明確に自覚）,,COL_001_EPI_004,COL_001,3114,ああ、悔しい、ああ、妬ましい！　私ももっと認められたい。,"1冊しか出せていないし、彼女よりフォロワーも人気も少ない。なんだか
「いいね」を寄せた人たちが全員、私のことを彼女より劣っていると言っているような気までする。

こんなに嫉妬深い人間が他にいるだろうかああ、悔しい、ああ、妬ましい！　私ももっと認められたい。私ももっと認められたい。注目されたい。彼女に負けたくない。

込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。
私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SN",一人称の直接体験（感情の爆発）,ああ、悔しい、ああ、妬ましい！　私ももっと認められたい。,https://fujinkoron.jp/articles/-/16030,"ゼロサムゲーム型、承認競争型 | social_media, romantic_relationship, creative_activity | self_vs_other | 遠（有名人・概念） | 可能（努力で変えられる） | 関係的嫉妬 | 感情表出型 | 「ああ、悔しい、ああ、妬ましい！　私ももっと認められたい。...」 | ああ、悔しい、ああ、妬ましい！　私ももっと認められたい。"
A16030_E007,4,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→他者,主体嫉妬（自分）,承認・評価、愛情,「注目されたい。彼女に負けたくない。」,ゼロサムゲーム型、承認競争型,"social_media, romantic_relationship",self_vs_other,中（知り合い・同業者）,可能（努力で変えられる）,関係的嫉妬,競争・対抗型,"{""desire_for_recognition"": 0.9, ""inferiority"": 0.7, ""frustration"": 0.8, ""jealousy"": 0.8, ""competitiveness"": 0.8}",state:meta-cognitive_awareness（メタ認知的気づき）,,COL_001_EPI_005,COL_001,3116,注目されたい。彼女に負けたくない。,"「いいね」を寄せた人たちが全員、私のことを彼女より劣っていると言っているような気までする。

こんなに嫉妬深い人間が他にいるだろうか
ああ、悔しい、ああ、妬ましい！注目されたい。彼女に負けたくない。込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。
私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだな
んて我ながら情けなすぎる。も",一人称の直接体験,注目されたい。彼女に負けたくない。,https://fujinkoron.jp/articles/-/16030,"ゼロサムゲーム型、承認競争型 | social_media, romantic_relationship | self_vs_other | 中（知り合い・同業者） | 可能（努力で変えられる） | 関係的嫉妬 | 競争・対抗型 | 「注目されたい。彼女に負けたくない。」 | 注目されたい。彼女に負けたくない。"
A16030_E008,5,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→他者,嫉妬という感情への気づき,承認・評価、愛情,「込み上げてきたそれは、昔からいつだって私を悩ませ続けている感...」,ゼロサムゲーム型、承認競争型,"social_media, romantic_relationship",past_self_vs_present_self,中（知り合い・同業者）,可能（努力で変えられる）,関係的嫉妬,内省・葛藤型,"{""desire_for_recognition"": 0.9, ""inferiority"": 0.7, ""frustration"": 0.8, ""jealousy"": 0.8, ""competitiveness"": 0.8}",state:explicit_awareness（明確に自覚）,,COL_001_EPI_006,COL_001,3118,込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。,"こんなに嫉妬深い人間が他にいるだろうか
ああ、悔しい、ああ、妬ましい！

私ももっと認められたい。注目されたい。彼女に負けたくない。込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだな
んて我ながら情けなすぎる。もういい大人なんだから、できればこちらだって朝日を見て瞑想すると
か、白湯を飲",メタ認知的回想,込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。,https://fujinkoron.jp/articles/-/16030,"ゼロサムゲーム型、承認競争型 | social_media, romantic_relationship | past_self_vs_present_self | 中（知り合い・同業者） | 可能（努力で変えられる） | 関係的嫉妬 | 内省・葛藤型 | 「込み上げてきたそれは、昔からいつだって私を悩ませ続けている感...」 | 込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。"
A16030_E009,6,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→他者,主体嫉妬（自分）,承認・評価、愛情,「私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、S...」,ゼロサムゲーム型、承認競争型,"social_media, romantic_relationship",self_vs_other,中（知り合い・同業者）,可能（努力で変えられる）,関係的嫉妬,内省・葛藤型,"{""desire_for_recognition"": 0.9, ""inferiority"": 0.7, ""frustration"": 0.8, ""jealousy"": 0.8, ""competitiveness"": 0.8}",state:explicit_awareness（明確に自覚）,,COL_001_EPI_007,COL_001,3119,私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだなんて我...,"ああ、悔しい、ああ、妬ましい！

私ももっと認められたい。注目されたい。彼女に負けたくない。

込み上げてきたそれは、昔からいつだって私を悩ませ続けている感情、―嫉妬だ。私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだなんて我ながら情けなすぎる。んて我ながら情けなすぎる。もういい大人なんだから、できればこちらだって朝日を見て瞑想すると
か、白湯を飲むとかして、もっと素敵な朝を迎えたい。
こんなに嫉妬深い人間が他にいるだろうか？

私はなぜこん",一人称の直接体験,私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだなんて我ながら情けなすぎる。,https://fujinkoron.jp/articles/-/16030,"ゼロサムゲーム型、承認競争型 | social_media, romantic_relationship | self_vs_other | 中（知り合い・同業者） | 可能（努力で変えられる） | 関係的嫉妬 | 内省・葛藤型 | 「私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、S...」 | 私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだなんて我..."
A16030_E010,7,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→他者,嫉妬についての考察,他者の優位性,「こんなに嫉妬深い人間が他にいるだろうか？」,ゼロサムゲーム型,social_media,self_vs_other,中（知り合い・同業者）,可能（努力で変えられる）,関係的嫉妬,内省・葛藤型,"{""inferiority"": 0.7, ""jealousy"": 0.8, ""competitiveness"": 0.8}",state:explicit_awareness（明確に自覚）,,COL_001_EPI_008,COL_001,3122,こんなに嫉妬深い人間が他にいるだろうか？,"番最初にすることが、SNSを見て誰かに嫉妬をすることだな
んて我ながら情けなすぎる。もういい大人なんだから、できればこちらだって朝日を見て瞑想すると
か、白湯を飲むとかして、もっと素敵な朝を迎えたい。こんなに嫉妬深い人間が他にいるだろうか？私はなぜこんなに性格が悪いのだろうか？

頑張って努",メタ認知的回想,こんなに嫉妬深い人間が他にいるだろうか？,https://fujinkoron.jp/articles/-/16030,ゼロサムゲーム型 | social_media | self_vs_other | 中（知り合い・同業者） | 可能（努力で変えられる） | 関係的嫉妬 | 内省・葛藤型 | 「こんなに嫉妬深い人間が他にいるだろうか？」 | こんなに嫉妬深い人間が他にいるだろうか？
A16030_E011,8,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→友人,嫉妬についての考察,愛情、経済力,「これまで私は嫉妬のせいでどれほど失敗してきたことか。...」,その他,"romantic_relationship, friendship",self_vs_friend,近（家族・友人・同僚）,可能（努力で変えられる）,関係的嫉妬,内省・葛藤型,"{""envy"": 0.8, ""jealousy"": 0.8, ""desire"": 0.5, ""confusion"": 0.4}",state:explicit_awareness（明確に自覚）,,COL_001_EPI_009,COL_001,3129,これまで私は嫉妬のせいでどれほど失敗してきたことか。,"私はなぜこんなに性格が悪いのだろうか？

頑張って努

力して新刊を出す彼女を、なぜ素直に応援してあげられないのだろうか？これまで私は嫉妬のせいでどれほど失敗してきたことか。貧乏な家庭で生まれ育ったため、周りの子どもたちがお小遣いをもらったり、いろんな習い事をしてい
たり、新しいオモチャをたくさん持っていたりするのが羨ましかった。強欲な私は欲しいものを手にい
れるために卑",メタ認知的回想,これまで私は嫉妬のせいでどれほど失敗してきたことか。,https://fujinkoron.jp/articles/-/16030,"その他 | romantic_relationship, friendship | self_vs_friend | 近（家族・友人・同僚） | 可能（努力で変えられる） | 関係的嫉妬 | 内省・葛藤型 | 「これまで私は嫉妬のせいでどれほど失敗してきたことか。...」 | これまで私は嫉妬のせいでどれほど失敗してきたことか。"
A16030_E012,9,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→弟,主体嫉妬（自分）,愛情、経済力,「貧乏な家庭で生まれ育ったため、周りの子どもたちがお小遣いをも...」,その他,"family, romantic_relationship, friendship",self_vs_sibling,近（家族・友人・同僚）,可能（努力で変えられる）,根源的嫉妬,内省・葛藤型,"{""envy"": 0.8, ""jealousy"": 0.8, ""desire"": 0.5, ""confusion"": 0.4}",state:unconscious_reaction（無意識的反応）,,COL_001_EPI_010,COL_001,3130,貧乏な家庭で生まれ育ったため、周りの子どもたちがお小遣いをもらったり、いろんな習い事をしていたり、新...,"頑張って努

力して新刊を出す彼女を、なぜ素直に応援してあげられないのだろうか？
これまで私は嫉妬のせいでどれほど失敗してきたことか。貧乏な家庭で生まれ育ったため、周りの子どもたちがお小遣いをもらったり、いろんな習い事をしていたり、新しいオモチャをたくさん持っていたりするのが羨ましかった。たり、新しいオモチャをたくさん持っていたりするのが羨ましかった。強欲な私は欲しいものを手にい
れるために卑怯な嘘をついたり、校則違反をして友達からお金を稼いだりして、何度も先生や大人たち
にこっぴどく",一人称の直接体験,貧乏な家庭で生まれ育ったため、周りの子どもたちがお小遣いをもらったり、いろんな習い事をしていたり、新しいオモチャをたくさん持っていたりするのが羨ましかった。,https://fujinkoron.jp/articles/-/16030,"その他 | family, romantic_relationship, friendship | self_vs_sibling | 近（家族・友人・同僚） | 可能（努力で変えられる） | 根源的嫉妬 | 内省・葛藤型 | 「貧乏な家庭で生まれ育ったため、周りの子どもたちがお小遣いをも...」 | 貧乏な家庭で生まれ育ったため、周りの子どもたちがお小遣いをもらったり、いろんな習い事をしていたり、新..."
A16030_E013,10,2025-03-12,「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→弟,嫉妬についての考察,承認・評価、能力,「好きな人ができれば、それはもうありとあらゆる種類の嫉妬をした...」,ゼロサムゲーム型、承認競争型,"workplace, family, romantic_relationship",self_vs_sibling,近（家族・友人・同僚）,可能（努力で変えられる）,根源的嫉妬,攻撃・模倣型,"{""desire_for_recognition"": 0.9, ""inferiority"": 0.7, ""fear"": 0.6, ""jealousy"": 0.8, ""competitiveness"": 0.8}",state:explicit_awareness（明確に自覚）,もちろん「おまえ重すぎるから無理」と数々の男たちにフラれてきた,COL_002_EPI_001,COL_002,3137,好きな人ができれば、それはもうありとあらゆる種類の嫉妬をした。,"れるために卑怯な嘘をついたり、校則違反をして友達からお金を稼いだりして、何度も先生や大人たち
にこっぴどく𠮟られた。

近所の公園で。私（右）と、弟（中央）と祖母好きな人ができれば、それはもうありとあらゆる種類の嫉妬をした。女がいれば、そいつの髪を仕込んだ藁人形に五寸釘を打ち込んで呪うことまで考えたし、恋が実ってひ
とたび恋人となれば今度は浮気されないかいつも不安で、相手を24時間365日メールやLINEで束縛しま
くっ",メタ認知的回想,好きな人ができれば、それはもうありとあらゆる種類の嫉妬をした。,https://fujinkoron.jp/articles/-/16030,"ゼロサムゲーム型、承認競争型 | workplace, family, romantic_relationship | self_vs_sibling | 近（家族・友人・同僚） | 可能（努力で変えられる） | 根源的嫉妬 | 攻撃・模倣型 | 「好きな人ができれば、それはもうありとあらゆる種類の嫉妬をした...」 | 好きな人ができれば、それはもうありとあらゆる種類の嫉妬をした。"
