番号,掲載日,記事タイトル,嫉妬の方向,分析対象,嫉妬の対象,嫉妬の語彙・名言,嫉妬の構造（3分類）,分析軸：距離,分析軸：努力介入,分析軸：感情ベクトル,階層（発生源）,行動類型
#1,2024/12/06,ギャンブルばかりで借金を作る父。母は宗教に救いを求めた。15歳の頃、離婚を決めた母への手紙が、思わぬ形で見つかって,本人→他者,主体嫉妬,父母／家族,家族格差、愛情の不在,不可侵領域型,近（家族）,不可能（出生・環境）,精神的安全欠如,根源的嫉妬,内省・葛藤型
#2,2024/12/08,斉藤ナミ「人見知りの自分が、6家族総勢26名と1泊2日のキャンプに行くことに。陽気国の住民に圧倒され、限界を迎えて読書を始めたが…」,本人→他者,主体嫉妬,陽気な集団「陽キャ国」,恐怖,不可侵領域型,近（友人・知人）,不可能（生来の気質）,自己同一化願望,関係的嫉妬,挑戦・逃避型
#3,2024/12/09,ファミコンもお年玉もない貧乏な小学3年生の私は、同級生の読書感想文を書いて300円を手に入れた。転校先でも続けた結果、16人分を書くことになったが…,本人→他者,主体嫉妬,経済的に恵まれた同級生（ファミコン・お年玉がある子）,「貧しさが悔しくて、文章で勝つ」,社会的ポジション型,近（同級生）,可能（能力・行動）,劣等感→承認獲得欲,関係的嫉妬,挑戦・補償型
#4,2024/12/12,出産後に再び生えてきたムダ毛たち。お風呂場でVIOラインの脱毛に挑戦した結果「いたぁあああ…く、ない？」,本人→他者,主体嫉妬,理想の自己像（ムダ毛のない自分）,「毛たちの声」「これが本来のあんた」,不可侵領域型,近（身体）,可能（努力）,自己同一化願望,根源的嫉妬,挑戦・逃避型
#5,2025/03/12,斉藤ナミ「評価されたい、愛されたい…いつも誰かに嫉妬している。でも嫉妬は私らしさで、原動力にもなっている」,本人→他者,主体嫉妬,輝いて見える他人,比較による不安、感情の交通事故,ゼロサムゲーム型,近〜遠,不明,-,関係的/抽象的,内省・葛藤型
#6,2025/03/21,斉藤ナミ「生まれて初めての嫉妬は、弟への感情。母の愛を取られたくない…。泣き喚く弟の顔に思わず布団を…」,本人→他者,主体嫉妬,弟,原始嫉妬、母の愛の独占欲,ゼロサムゲーム型,近（家族）,不可能（存在）,失脚願望,根源的嫉妬,攻撃・模倣型
#7,2025/04/10,4月10日は嫉妬の日！斉藤ナミ「嫉妬に取りつかれた私は、SNSで〈私と真逆なリョウコ〉になりすまし自分の恋人にDMした。その結果は…」,本人→他者,主体嫉妬,自分と真逆の女性像（SNS虚像）,SNS仮面嫉妬,ゼロサムゲーム型,近（恋人関係）,可能（演技）,失脚願望（自分への関心奪還）,関係的嫉妬,攻撃・模倣型
#8,2025/04/25,「嫉妬 女性 作家」で検索したら、出てきたのは偉大な先輩、紫式部だった！知り合いの「新刊が出ます」のお知らせが世界で一番嫌いだ,本人→他者,主体嫉妬,同業の作家,脳内ランキングの罠,ゼロサムゲーム型,近（同業者）,可能（実績）,失脚願望,関係的嫉妬,内省・葛藤型
#9,2025/05/09,あなたにとって、嫉妬とは何かー「嫉妬論」山本圭教授×連載「嫉妬マニア」エッセイスト斉藤ナミ対談,本人→他者（ただし対象特定なし）,概念探求,嫉妬という感情そのもの,「嫉妬は逆さまの自分」,概念的探究型（学術・内省）,遠（概念）,不明,自己洞察・理論化,抽象的嫉妬,内省・思想型
#10,2025/05/27,斉藤ナミ「対岸の家事」を観て、孤独な専業主婦だった子育て時代を思い出す。「体験格差」にもギクッとさせられた,本人→他者,主体嫉妬,他の母親、社会,体験格差,ゼロサムゲーム型,近（知人）,不可能（過去）,-,関係的嫉妬,内省・葛藤型
